id,name,description
"060b67f3-1d01-4bc3-ad19-d51f39cb50bc","Stinky hat","A hat that smells really bad. I don't know what happened to it at the celebration\, and I don't want to know. I'll never put it on my head."
"0610877c-83f4-4fdb-95e9-c3edf813ba0b","Felt cap","A felt cap with a curved hem\, a tight fit  to the head\, is a popular head cover\, especially among hard-working people."
"0658b976-5789-4349-ad70-10042b84e870","Short aketon","A quilted coat sewn to the best fit\, so it is great to wear and does not restrict movement. An excellent soft layer under other types of armour."
"06759b71-0814-4dbe-8306-003f21d724f5","Roasted piglet","A piglet roasted on a spit. Fat helps when you get drunk."
"06787e37-2822-4180-9dda-6aa1a2d15707","Apple","An apple a day keeps the apothecary away. It's not terribly nutritious\, but stays fresh a long time."
"069c6b71-26c8-4275-8642-c796f6eea0ea","Hemmed hood","If you have a little more money\, it should be apparent. That's the decent thing to do."
"06be2a3d-4e05-4a78-85cd-33879cd669c9","Herring","Herring can be smoked\, roasted\, pickled or boiled. It's very tasty\, but one of the boniest fish there are."
"06c04ae4-ec63-4546-9725-4c0996770cb6","Weapon stub","The remains of a weapon. It used to be useful\, now it's useless."
"06d3757e-2882-4d75-99f9-1008a4e9d2d1","Unbalanced die","A playing die someone tried to load to his advantage\, but didn't do a very good job."
"07029524-8385-4926-8fee-035db316d770","Dried dog meat","When the damned mutt just won't stop barking… Not for the faint of heart."
"070730ed-b35b-4bb1-82e9-0e75c1727ac6","Surcoat","A surcoat is an outer dress with wide armholes\, revealing the lower layer of the garment. Evil tongues claim that such a cut attracts inappropriate attention. Perhaps because of this\, it is very popular."
"0712d873-29bd-4fdd-8966-79aefb82c829","Smoked cheese","Smoked cheese never gets old\, whether it's made from cow or sheep milk."
"071caaed-731e-418b-93e8-551abc68409e","Beggar's coat","A beggar's overcoat is all patch and almost falling apart. Still\, in a pinch\, it's better than nothing."
"071f0909-41e6-4420-8642-7b289328d6e7","Broken shield","The remains of the shield. Good as firewood."
"072b4325-debc-40fc-bd69-db7823043ae8","Short aketon","A quilted coat sewn to the best fit\, so it is great to wear and does not restrict movement. An excellent soft layer under other types of armour."
"0752b90c-9c7d-4831-90ef-43c8803ef118","Magdeburg cuirass","The richly shaped two-piece cuirass with folded faulds protects the whole torso and groin very well. There are constant arguments among knights about whether a good brigandine or a hardened cuirass is better. In short\, both have their undeniable advantages and obvious weaknesses."
"07707994-2239-4bd4-8403-687a5317c6e9","Broken shield","The remains of the shield. Good as firewood."
"078561a0-be69-4f3d-b616-fa68cac0937e","Thieves' notes","A parchment with drawings of thieves' symbols and explanatory notes."
"078e439b-1a5b-40ca-b009-d4abf6fcf810","Quilted hose","Simple quilted leggings. Not exactly the pinnacle of tailoring skill. Can be used alone or as a softening underlayer beneath better armour."
"079130b1-3367-48aa-937e-b5ecea0f750e","Golden initial brooch","Try putting a beautiful brooch like this on a beggar's skirt and you'll be thrown straight into the jail. You could be king and no one would believe it belongs to you. Clothes make the man\, as Lord Capon and I already know."
"07bb9f44-91f8-46fb-bed2-33bc8cd6a605","Knight's waffenrock","The Waffenrock is a loose outer garment\, usually linen\, worn over armour. It carried the colours of the lord\, town or ruler the wearer bore allegiance to\, and as such was the precursor of the military uniform. It also protects its wearers armour from dust and harsh sun."
"07c33eea-2ada-4bcb-be13-be7229ff7a85","Leather apron","A long linen tunic joined by a long leather apron for harder work in the workshop."
"07de606e-742b-4195-a8f1-6d19884d49bf","Tunic","The lower linen tunic is worn by rich and poor alike as an essential part of their clothing. Of course\, if you're not exactly a craftsman at work\, it's polite to complement it with a woollen outer garment."
"0802c111-75aa-4b9c-9a3f-f30bac55fbc7","Skalitz axe","An axe made by the skilful hands of a blacksmith in Skalitz\, it always seems to find its way to the one who drinks the most."
"081fc4a1-25e9-4492-8dc8-2d9d6668c07a","Sharpshooter's bolt","A balanced bolt with good range and high accuracy."
"08250d1c-c62e-43b5-967c-17ccb4adf1b5","Pitchfork","If nothing better is at hand\, at least this will do. A simple but effective tool\, which is as good for pitching hay as it is at stabbing the enemy where the sun don't shine."
"0825641d-c879-4776-9dbe-903607a8a35f","Broken shield","The remains of the shield. Good as firewood."
"082e5192-fff9-4637-aa64-e4785bfe34f8","Dried perch","Perch or other fish are healthy\, you should eat a lot of them. You can season fish with spices and coat it in flour. Then fry it in butter. Finally\, sprinkle it generously with fried onion and serve with bread."
"083f9cc6-fd41-4c5d-9f3a-cc63d7a1bc1b","Cuman leather hat","A cap made of raw leather and sewn with leather straps is an unmistakable headgear of the Cuman raiders."
"085317a2-c9e8-4c05-8e74-78e271d15127","Lambskin shoes","Shoes made of the finest lambskin leather\, belonging to the wife of Captain Frenzl of Suchdol."
"085ca82f-2872-4eb7-b373-137d4a39d382","Silesian cap","Scooped cap of linen cloth or felt with a wide raised hem\, split in two at the front. Especially popular north of Bohemia."
"085e326b-5677-4ed6-86f2-114ea5217e5f","Old tunic","A dark faded tunic. Once dressed\, the wearer becomes invisible... but more likely\, no one will want to look at him."
"0888180c-8f9c-4781-8eb1-b9f1300951e5","Old brigandine legs","Protection of the entire leg formed by individual iron plates riveted to the honest cowhide leather. This is an older form of folded armour\, which can be seen especially in the shape of the knee pads."
"08a31823-a5c6-43f9-9b4b-27b8230a352f","Gamekeeper's letter","A nostalgic letter from the former gamekeeper to Peter of Pisek."
"08bf183d-9090-4b59-bd37-65ccd23e9485","Letter from Sigismund","A short personal letter from Sigismund."
"08c35fd2-9f7d-427e-bbfa-007d51773940","Wine for Capon","Good red wine for Lord Capon. The road to Nebakov will be long and one's throat can dry up during the siege of the castle."
"08d82149-af01-48b6-9e72-b3f000da5e5f","Hose joined","Long hose are a staple of men's clothing. They are worn by noble lords as well as simple folks. However\, they differ in quality of fabric\, cut or richness of colour. These hose are fashionably joined at the crotch by a separate flap."
"08ddb424-8a79-41ff-b267-4d2153c57d2a","Frilled dress","A frilly\, tight-fitting dress with a raised skirt tip coquettishly revealing the petticoat are coming into fashion especially in cities."
"08eadfa5-3f62-4202-adb0-ad358bba2c95","Master huntsman's hat","The pointed hunting hat decorated with a brooch is the badge of an experienced hunter. Poachers should be on the lookout if they see him."
"08f5ee0a-ac03-423e-bc00-c388303cf0c9","Longsword Absolver","A beautiful and at first sight excellent long sword. Such a weapon is guaranteed to attract a crowd of scoundrels."
"08f88060-ba4f-4b3d-a4ef-464ee18eb872","Embroidered chaperon","A richly embroidered\, elegant headdress\, which is originally nothing more than an upside-down hood."
"08fbab31-23e5-4bb2-a9b5-d29c2a6d1ffa","Weapon stub","The remains of a weapon. It used to be useful\, now it's useless."
"0904d567-9fb2-4833-acf4-80f38f5d49b1","Noblewoman's cotehardie","A light outer jacket\, popular among wealthy burghers and noblewomen. It is commonly adorned with pendants\, decorative buttons and embroidery. Long\, flared sleeves are also in vogue."
"0904f2e0-a446-4374-87b1-f5729ac109b9","Broken shield","The remains of the shield. Good as firewood."
"0928e5d1-88ed-4adf-bf57-bc47a7ea5fd9","Teachings of Peter Waldo","A skill book on Scholarship."
"0942ca27-0900-4244-a563-08531dc77389","Short gambeson","A quilted combat coat made of several layers of plain linen. Can be worn alone or as a basic soft layer under other types of armour."
"0973959e-9c95-477a-bbfc-31de29a429e9","Cleric's hood","Made of good woolen fabric\, nicely cut\, well stitched\, in short excellent quality. No wonder it has a name referring to the priestly state."
"09779246-a93b-4f76-8a54-ef2b73c978f7","Embroidered coat","The coat with embroidered hem and forearm is fastened up to the neck with decorated buttons."
"09ae6cbc-77d1-4686-801e-871b49440d7d","Nuremberg gauntlets","A masterpiece from the best armoursmiths. Finger gloves of hourglass shape made with metal decoration and brass lining."
"09b21d63-7d4c-4837-91eb-131ea7fb4dda","Jewish hat","A pointed yellow hat\, also called a Judenhut\, is a strange and hard to miss head covering for Jewish men."
"09ba8849-d20d-48f2-b94e-c36f10abcf41","Scaled skullcap","One-piece helmet of plain cut designed for plain squires."
"09c8c27c-db50-4bdf-80a5-f107402bbba0","Knight's waffenrock","The Waffenrock is a loose outer garment\, usually linen\, worn over armour. It carried the colours of the lord\, town or ruler the wearer bore allegiance to\, and as such was the precursor of the military uniform. It also protects its wearers armour from dust and harsh sun."
"09cecf64-9b80-4a09-98c1-6bc08553d46a","Products of Skilled Hands IV","A skill book on Craftsmanship. Can be read from level 15 of this skill."
"09d8e88a-32f7-435c-800f-ac9dfe07da7a","The Kingdom of Bohemia","A brief history of the Kingdom of Bohemia."
"09e1aa1e-8896-4caf-b15e-da35a1e8e853","Fitted coat","A fitted coat made of good fabric with a wider skirt will make its wearer look good in any better company."
"09e5c8ba-217d-4eb2-8aec-be169f0929b1","Weapon stub","The remains of a weapon. It used to be useful\, now it's useless."
"09f61f5c-e377-4c7c-a8cc-2732a6741050","Tied jester's hose","These colourful trousers are worn by jesters and generally eccentric people. The higher quality suggests that whoever had them made was very serious about their insouciance."
"0a218fa9-58c7-4696-b5a3-7954e639dd9e","Hand wrap","A hand wrap is a strip of cloth wrapped securely around the wrist\, palm and base of the thumb. It helps to protect the hand and wrist against injuries caused by blows\, serving both to keep the joints aligned and to compress and lend strength to the soft tissues of the hand during a fist strike."
"0a22cfc4-bc18-4066-876b-95fe7041376b","Saxon brigandine","One of the best folded armours you can get. The individual hardened plates overlap perfectly\, making the brigandine very durable. In addition\, a lower fauld is attached to the vest\, so the armour covers not only the torso\, but also the warrior's groin."
"0a3b4b8b-bfef-4411-b122-bdc537fa125b","Oakgall ink","Dark liquid made from crushed oak galls and gum Arabic\, used for writing on parchment."
"0a46c96b-11fa-4627-8a89-786a4577a441","Bell-shaped kettle hat","The most common shape of kettle hat\, popular among the poor squires. It consists of two parts joined together by iron rivets\, and therefore isn't as expensive as a helmet forged from a single piece."
"0a712525-e7b5-422c-8091-f541da6e6532","Broken shield","The remains of the shield. Good as firewood."
"0a747df3-03d0-43b4-93ef-f819ca46062d","Narrow headband","A narrow headband\, or also a crown\, made of more or less noble metal\, is usually decorated with semi-precious and genuine precious stones."
"0a8b54b4-93f5-4b21-bb1e-4bc94b9724b4","Long gambeson","A quilted combat shirt made of several layers of plain linen. It provides some protection on its own\, but is primarily worn as a soft underlayer under all types of armour."
"0a9f1379-9c65-4b7d-8d26-5639a67724d6","Innkeeper tunic","A linen tunic is an essential part of any outfit. The innkeepers also wear a working linen apron around their waists."
"0aba49a1-bffe-460b-bcc0-781654d79ac1","Short aketon","A quilted coat sewn to the best fit\, so it is great to wear and does not restrict movement. An excellent soft layer under other types of armour."
"0ae9eb7d-d57f-4f4b-8949-8f37c39f553e","Brocade","You won't believe it\, but brocade and broccoli have a common basis in the Latin word broccus - pointed. Why? Nobody really knows."
"0af9edaa-3393-46a3-b5d2-9a750828e428","Sheep ear","An ear from a lost sheep\, which the shepherd Smoliek needs as proof that he did not sell it."
"0b00b982-c5c3-4d1f-928d-f214d8dce166","Broken shield","The remains of the shield. Good as firewood."
"0b2fcda5-11d1-46c4-9336-67f433136fbf","Rose hip wine","Grapes of wine growing on a rose bush! Tastes miraculously and increases your health!"
"0b354bb1-3741-4a78-8a73-0d668f273044","Crested Cuman helmet","A helmet of a peculiar pointed shape\, not used in our lands for a long time\, favoured by nomads on the eastern steppes. The Cumans are fond of adorning it with horsehair\, and some evil tongues claim that also with the hair of good christian virgins."
"0b383bf7-a67b-4caa-9db8-501ed8d6aa9f","Mail hood with a coat of arms","A quilted hood with a collar and wide mail hood."
"0b3f7f50-486d-4556-b0da-a0fc87f5feb9","Vagrant's boots","Plain\, ankle-high lace-up boots with a raised toe\, suitable for wealthy travellers and poor vagrants alike."
"0b4e244a-e3de-4502-afd0-fb7fe309629a","Cream","Cream has always been a luxurious additive to sauces\, whether sweet or savoury."
"0b54dfe4-7c6b-41bd-b6f5-6f079c98a14d","Bandit's treasure map","I've seen this map before..."
"0b5b88e2-79d2-4913-95e3-42dc7391d770","Painter's Guild knight shield","A guild shield. The three bowls of paint are a well-known symbol of the Kuttenberg painters who decorated knights' shields and painted the frescoes in the royal palace."
"0b9035cf-5e1d-46d7-8c89-e93c4d9c8da8","Lavish caftan","A caftan is a long men's overcoat with long sleeves. It is a traditional part of men's clothing in many eastern cultures. This one has rich oriental decoration."
"0bab0244-9806-4dd0-8e39-ef1f2331e96c","Noble brigandine legs","A full leg protection of a newer type formed by the combination of lamerall and plate armour. While the thighs are protected by folded slats\, the warrior's shins are encircled by well-forged metal plates."
"0bb591c2-663f-4e0c-9ca9-7cd893dc77da","Long pourpoint","A well-made long combat coat made by a real tailor\, so it doesn't restrict movement like ordinary quilted gambesons."
"0bb723a5-7a89-496b-b078-ea292654d75d","Heater shield","A shield made of wooden planks glued together and covered with thin rawhide. These shields are usually decorated with the coat of arms of a lord\, noble family or city."
"0bc213eb-e3a1-4e23-94c0-63b6ab90aa21","Miner's cap","A felt cap adjacent to the head has an extended brim at the back to prevent rock rubble\, dust and dirt from falling behind the neck when working in the mine."
"0bd0ee54-f7c8-4808-b620-da6d059640fe","Couters","Simple elbow pads. You can suffer all sorts of injuries in combat\, so it's best to protect yourself however you can."
"0bd28c1a-f069-4de7-81c9-ba9300807dff","Noblewoman's cotehardie","A light outer jacket\, popular among wealthy burghers and noblewomen. It is commonly adorned with pendants\, decorative buttons and embroidery. Long\, flared sleeves are also in vogue."
"0c057351-28f6-418a-95ab-66d0010dedbe","Alchemist's key","A key I found on a weird alchemist hiding in the ruins of the Rabstein fortress."
"0c2685e0-c0b8-4fa4-aefd-b4112393fead","Cuirass with falds","The metal cuirass with folded falds creates excellent protection for the torso and groin of the knight. The falds are also made from slats\, so they can be easily moved and worn on a horse."
"0c30d09e-54b9-4f96-9290-dfefcb48c6ab","Broken shield","The remains of the shield. Good as firewood."
"0c405844-5336-4c6a-ad73-5de85e4a88f9","Quilted caftan","A Caftan is a long men's overcoat with long sleeves. It is a traditional part of the male dress of nomads from the eastern steppes. This one is also quilted for better durability."
"0c6313b1-8fe6-4534-9f4d-24c3a3815c56","Gartered hose","A long hose are a staple of men's clothing\, but garters are worn only by the nobility\, wealthy bourgeoisie or various freedmen. Nothing for the common peasant."
"0c6cd742-18d7-496a-8b0b-f4735f27cbf1","Tied jester's hose","These colourful trousers are worn by jesters and generally eccentric people. The higher quality suggests that whoever had them made was very serious about their insouciance."
"0c8f2af6-6e37-45de-8782-1f083dc526ee","Key to the Cellar of All Saints' tavern.","The key to the cellar of the All Saints tavern."
"0cb47176-06c5-42a9-8d70-969e917eb999","Drinking water","Drinking water in a skin."
"0cc2f8ae-d406-4260-819a-e7d6edc376c9","Fechthalle key","Key to the Fechthalle."
"0cc4d53d-0c83-417a-8ffa-b8f1407ececd","Miner hose","These aren't just any pants. These express their owner's affiliation with a respected craft and are therefore properly worn out from an honest work."
"0ce5a522-de1c-4bff-b227-a3720231c337","Broken shield","The remains of the shield. Good as firewood."
